            REPORTE INFRACTORES DE TRANSITO
==========================================================
DNI          INFRACTOR                           PLACA
----------------------------------------------------------
13852922     Cueva_Bravo_Cinthia_Ana             S4T-502
61630520     Cueva_Bravo_Elena_Cinthia           X2T-216
68936182     Cueva_Campos_Carlos_Cinthia         X6T-302
44895106     Cueva_Campos_Jorge_Ana              R7T-538
79844456     Cueva_Campos_Lucía_María          E7T-538
85280110     Cueva_Carranza_Jorge_María         X4T-244
78401671     Cueva_Delgado_Cinthia_Luis          P7T-145
64011378     Cueva_Delgado_Delia_María          H4T-201
93030112     Cueva_Paredes_Delia_Cinthia         D9T-788
53664914     Cueva_Paredes_Elena_Ana             E3T-890
38960182     Cueva_Reyes_Luis_Pedro              T6T-797
74370652     Cueva_Vega_Jorge_Ana                B1T-472
87393928     Cueva_Vega_Luis_Lucía              F3T-780
93565080     Fernández_Bravo_María_Delia       T9T-652
34418518     Fernández_Campos_Jorge_Lucía      P5T-468
28651885     Fernández_Carranza_Ana_Luis        M9T-792
26980857     Fernández_Carranza_Carlos_María   T6T-477
77026610     Fernández_Carranza_Delia_Jorge     P7T-669
97805423     Fernández_Delgado_Delia_Cinthia    W3T-353
28127629     Fernández_Delgado_Jorge_Pedro      I8T-837
36633875     Fernández_Delgado_Luis_Delia       H9T-248
07813047     Fernández_Delgado_María_Carlos    N5T-526
99685614     Fernández_Delgado_María_Cinthia   N8T-822
75659143     Fernández_Fuentes_María_Pedro     J9T-527
12887827     Fernández_López_Carlos_Cinthia    T2T-100
85199692     Fernández_López_Luis_Pedro        H8T-781
12679737     Fernández_Paredes_Luis_Elena       F6T-214
76273177     Fernández_Paredes_Pedro_Jorge      I8T-924
53664853     Fernández_Salas_Ana_Luis           V7T-587
69167182     Fernández_Salas_Cinthia_Jorge      Z3T-725
07955410     Fernández_Salas_Elena_Jorge        X2T-674
49086762     Fernández_Vega_Lucía_Luis         Q5T-331
69195331     García_Bravo_Elena_Carlos          S5T-839
57582529     García_Carranza_Ana_María         A6T-497
50171763     García_Delgado_Jorge_Elena         Z3T-635
76706677     García_Fuentes_Carlos_Delia        S8T-321
47557217     García_Fuentes_Cinthia_Luis        Y6T-378
83908602     García_Paredes_Cinthia_Lucía      R8T-870
10634129     García_Paredes_Delia_Ana           E3T-120
38264395     García_Paredes_Luis_Jorge          E3T-227
11522770     García_Paredes_María_Carlos       J4T-931
99610811     García_Reyes_Jorge_Carlos          Q2T-913
40141544     García_Salas_Carlos_Lucía         D8T-765
34747958     García_Salas_Luis_Cinthia          D3T-333
31107256     García_Salas_Luis_Jorge            J8T-882
59189060     Martínez_Bravo_Ana_Pedro           U5T-370
78602122     Martínez_Bravo_Lucía_Jorge        W5T-538
60573976     Martínez_Campos_Pedro_María       D6T-431
85660823     Martínez_Carranza_Carlos_Ana       W3T-240
71825393     Martínez_Delgado_Luis_María       H4T-447
90458505     Martínez_Fuentes_Jorge_Luis        K8T-367
25516842     Martínez_López_Ana_Jorge          B1T-577
21475278     Martínez_Reyes_Delia_Pedro         K5T-268
